architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,10.0,91,12229,45000000,45000000,180,0,4e-06,3.4369764987532448e-06,4.628945808801181e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,d6ea28560918b725e35421ffe9380875687c5f743870e9e400a6b3ad69f490cc,dce535921ee912e644f16dc14ab890b0528b2ab673c113fef19964f66b23fbf1,4c3505358531ffe25c5113d54c5a83dea978964dce385a7b3c26e82deee06960,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,10.0,91,12229,45000000,45000000,240,0,5.333333333333334e-06,4.679875434688163e-06,6.052500610918948e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,46d4dbb939f323146f70e858caf24048c00e4b76d0e79c627384b5bdd0b3b2bf,6d814bd4bf753c93316eed236ebd876d2730fce6f4a8ed15f375767b50ea5845,c85b9d5b03c6c270fc181aa4f5de138d9989ec33f0a5ec9fa917077e94f7175c,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,10.0,91,12229,45000000,45000000,411,0,9.133333333333333e-06,8.271577936525144e-06,1.0060471860186087e-05,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,37802d6069d7eda273f5e8d27da674b40770284b7790a0811c664f66a0610942,e335488f2c617fb4405f58b58f5532dfb366e9c822a48982a55d07b4f1380578,28ec6355d148d9012d144e6795758f144753a013cb5fe219fdaaa69489e5fe06,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,10.0,91,12229,45000000,45000000,637,0,1.4155555555555555e-05,1.3077486963897227e-05,1.5298798095413164e-05,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,7e79f285339ea354a8e1b8c10bb64c85e08b08d286bde92e55c066edd30d9a84,ce8718f22f001f2d0afaecae9c2f4f22acfd8538a7c3ae4d49d3f26efd5d761e,a4298e043aa2483c76d2e41f2dbf1f14fbc504dd7f47a7c87d8c0dc6ac10673a,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,a9f0e427155b481749ff0cd9e632f424def59b70a3b7479e75672005794087bb,d4ab1e31ed6aa82388bd12414e3956235b6b89368784e04eaec48ecb5686d055,17f4a03f1514adebb2761d648bc6eebe43574f7d69784d756cb26499a43ec4c1,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,adef69ac2bc04f8d1c15465f0369fe49e083a162931c51ad27fbe74d4b03fe12,6eb67a4072d7ae525eae900ca2f9cb2954eda460d0937b67012d37ed746c6ede,d298efd53dae9f245859d2fb23bc63b8c742c23c510447c700ed6b47c5c52728,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,53c0f4fb8814c36f6b4b69ebbe47d55581841cbba82da50d5249af0873ce4808,cc0c209bc1d110261737d80640183c8f98a7e46456b369a4867d51b41dd1df0c,6ae56cb4a1cade2c7e00c6ac85bb0d79b389af7de4759ac1fde0ae652ccf660f,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,12.0,153,26703,45000000,45000000,2,0,4.444444444444445e-08,5.3824284574076025e-09,1.6054860551419843e-07,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,9618b2bf9f8c1823a54bc697dcbf67041db97a8fb06884e8881e7002d4f050ae,99b3e914c24041c0625dc7a58d5ce458e504cf97b1b8d6cdbaf736c1814ba77c,88e54ba00788bce4a36dd544b78e1713331da4fa48b24fab65495e3ea1b229cd,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,12.0,153,26703,45000000,45000000,3,0,6.666666666666667e-08,1.3748269608689676e-08,1.9482827795435885e-07,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,83ba58c9b1648d3a97a1d2c9cfb7e48bdd2e97f617f4c83444fc3ab523b4d792,a1c239c0d262b172e67bd011e86e000d15c9a4054f0bbd2834b7aae2671e5ae9,cba904fa960c2c126d974cada3f9bb36195570fbcfd307991dfe46cb69204fcc,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,12.0,153,26703,45000000,45000000,3,0,6.666666666666667e-08,1.3748269608689676e-08,1.9482827795435885e-07,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,693f3252dc7fa7d7454fbfa7a7c87bd309eea6c46d54c4675ab1682c5fffb52f,f124bb806050adbf5449d577252571e716b0f5d67945905693c527340d9a1e6b,5b594b6d66902d3b198fd4bb59da4fa54fd288327ff1d941eb3e65ca86e05eba,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,12.0,153,26703,45000000,45000000,10,0,2.2222222222222222e-07,1.0656419822584354e-07,4.0867454066473486e-07,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,b28968f2991547f6576117518ea35c15170a58b00c9fad3ba5adc6058652d8d9,76f0be8201b76fec0984c82a18c8056273125567a3c825a8c13f7b046bac0a3f,30df7d58a3ceccc7624de8cdc3db1f964d286d23375725f6673735781fa1f44e,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,12.0,153,26703,45000000,45000000,17,0,3.7777777777777775e-07,2.2006949201056228e-07,6.048587495392854e-07,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,ec23c6a58d55f8874073c5bda922ffaf60567b5b017d896e788c0832f1b698f0,db594ad651fa26a0955e7087b2d11de5fb1a29d4b076782a6ef582a98ebb0de7,af271e235c03e0c7e8b82c2a6ed4b3fac4c61a6b6a24a1850e6eb31dc51b2475,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,12.0,153,26703,45000000,45000000,32,0,7.111111111111112e-07,4.863995228294862e-07,1.0038765658901152e-06,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,af2fa6860865754407cf9dc1307da5ba47f82d685269e8850133466f74d3cf87,b47fcd40994d72488e5495f7b44e429a71b79daf77c0c4fc13706ba002fa4f1b,f23c74ccad1ff891a7e28175293d6001f503904b5566e919d486821973dbb794,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
standard_d9,X,d9-d9-d9 X,Standard D9-D9-D9 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,12.0,153,26703,45000000,45000000,51,0,1.1333333333333334e-06,8.438412202843233e-07,1.4901237647599585e-06,a1e00ab133aa72691359bffc2b009fb7ddc47e0754ac337adccc9c7c85f8bf17,eea68d2e156565b5db08e2ebec3cd2a7948dd3fe4a887645940e415b0e6f1a81,92ae5ba67fae7361bf97b056b99d4f360434e22031dc6e4daa6ad1c3e2166194,3703556cf7602796f1ef16d76b3ced1dc1aad3381d0cb983167042723c8b9ed2,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,9,cd4774122c99365d5b52dc19f0a287beb72fb1ff5022365280622775cd74a6aa,,,,,,
